"player","team","position","status","photo","event_points","form","now_cost","points_per_game","selected_by_percent","total_points","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","influence","creativity","threat","ict_index","expected_goals_per_90","saves_per_90","expected_assists_per_90","expected_goal_involvements_per_90","expected_goals_conceded_per_90","goals_conceded_per_90","starts_per_90","clean_sheets_per_90","cluster","rec"
"Aaron Ramsdale","Arsenal","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p225321.png",0,0,4.6,3.4,6.1,17,450,0,0,2,4,0,0,0,0,0,6,0,55.8,0,0,5.6,0,1.2,0,0,0.97,0.8,1,0.4,4,"Not recommended"
"David Raya Martin","Arsenal","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p154561.png",1,3.8,4.9,3.7,6.2,55,1350,0,0,5,16,0,1,0,0,0,23,2,224.8,0,0,22.4,0,1.53,0,0,0.8,1.07,1,0.33,5,"Can be alternative"
"Emiliano Martínez Romero","Aston Villa","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p98980.png",1,1.5,5.2,3.2,12.1,61,1710,0,0,4,26,1,0,0,4,0,56,9,464,10,0,47.4,0,2.95,0,0,1.29,1.37,1,0.21,5,"Can be alternative"
"Robin Olsen","Aston Villa","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p111782.png",0,0,3.9,2,0.6,2,90,0,0,0,1,0,0,0,0,0,1,0,12,0,0,1.2,0,1,0,0,0.73,1,1,0,4,"Not recommended"
"Norberto Murara Neto","Bournemouth","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p69752.png",2,4,4.6,4.1,3.5,69,1530,0,0,5,28,0,1,0,3,0,61,10,480,0,0,48.1,0,3.59,0,0,1.69,1.65,1,0.29,5,"Can be alternative"
"Ionuț Radu","Bournemouth","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p215531.png",0,0,4.4,1,0.1,2,180,0,0,0,7,0,0,0,0,0,5,0,33,0,0,3.3,0,2.5,0,0,1.38,3.5,1,0,4,"Not recommended"
"Mark Flekken","Brentford","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p118342.png",2,1.3,4.5,2.7,2.5,48,1575,0,0,3,29,0,0,0,1,0,46,1,378.8,0,0,37.9,0,2.63,0,0,1.35,1.66,1.03,0.17,2,"Can be alternative"
"Thomas Strakosha","Brentford","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p140200.png",0,0,3.9,2,1.9,4,135,0,0,0,2,0,0,0,0,0,6,0,42.8,0,0,4.3,0,4,0.01,0.01,1.12,1.33,0.67,0,3,"Not recommended"
"Jason Steele","Brighton","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p49262.png",8,2.2,4.2,2.5,2,27,990,0,0,1,19,0,0,0,0,0,26,2,236.8,0.1,0,23.7,0,2.36,0,0,1.39,1.73,1,0.09,4,"Not recommended"
"Bart Verbruggen","Brighton","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p489639.png",0,1.2,4.4,2.2,0.4,20,810,0,0,0,14,0,0,0,1,0,26,2,232.6,0,0,23.3,0,2.89,0,0,1.72,1.56,1,0,4,"Not recommended"
"James Trafford","Burnley","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p432720.png",2,4,4.5,2.9,1.1,57,1800,0,0,2,41,0,0,0,1,0,81,4,680.4,0.1,0,68.1,0,4.05,0,0,1.74,2.05,1,0.1,2,"Can be alternative"
"Robert Sánchez","Chelsea","Goalkeeper","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p215059.png",0,0,4.6,3.7,3.6,59,1433,0,0,3,25,0,1,0,2,0,53,7,450.6,0.1,0,45.2,0,3.33,0,0,1.49,1.57,1,0.19,5,"Can be alternative"
"Đorđe Petrović","Chelsea","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p457569.png",2,3.2,4.5,2.8,1,14,366,0,0,1,6,0,0,0,0,0,13,0,100.2,0,0,10,0,3.2,0,0,1.32,1.48,0.98,0.25,4,"Not recommended"
"Sam Johnstone","Crystal Palace","Goalkeeper","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p101982.png",0,0,4.5,3.5,2.5,56,1436,0,0,5,22,0,0,0,0,0,34,7,254.4,0,0,25.6,0,2.13,0,0,1.42,1.38,1,0.31,5,"Can be alternative"
"Dean Henderson","Crystal Palace","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p172649.png",3,2.2,4.4,2.2,0.3,9,360,0,0,0,6,0,0,0,1,0,17,0,121.4,0,0,12.2,0,4.25,0,0,1.72,1.5,1,0,4,"Not recommended"
"Jordan Pickford","Everton","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p111234.png",2,3,4.5,3.4,9.3,68,1800,0,0,6,28,1,0,0,3,0,56,6,441.2,40.2,0,48.1,0,2.8,0.01,0.01,1.43,1.4,1,0.3,5,"Can be alternative"
"Bernd Leno","Fulham","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p80201.png",1,1.2,4.8,3.5,16.1,71,1800,0,0,5,35,1,0,0,2,0,76,10,617.6,0.1,0,61.6,0,3.8,0,0,1.78,1.75,1,0.25,5,"Can be alternative"
"Alisson Ramses Becker","Liverpool","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p116535.png",1,3.8,5.7,4.3,13.7,77,1620,0,0,6,15,0,0,0,1,0,51,9,420.4,10.1,0,42.9,0,2.83,0,0,1.12,0.83,1,0.33,5,"Can be alternative"
"Caoimhin Kelleher","Liverpool","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p200720.png",0,0,3.7,3.5,1.4,7,180,0,0,1,3,0,0,0,0,0,3,0,32.6,0,0,3.2,0,1.5,0,0,0.94,1.5,1,0.5,4,"Not recommended"
"Thomas Kaminski","Luton","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p54738.png",2,3,4.5,2.3,0.3,43,1710,0,0,1,37,0,0,0,3,0,71,1,555.2,0,0,55.5,0,3.74,0,0,2.12,1.95,1,0.05,2,"Can be alternative"
"Ederson Santana de Moraes","Man City","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p121160.png",6,2.7,5.5,3,16,54,1620,0,0,5,20,0,0,0,3,0,32,0,320.2,10,0,32.9,0,1.78,0,0,0.94,1.11,1,0.28,5,"Can be alternative"
"Stefan Ortega Moreno","Man City","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p88248.png",0,0,3.8,2,0.8,2,90,0,0,0,1,0,0,0,0,0,2,0,18.6,0,0,1.9,0,2,0,0,0.83,1,1,0,4,"Not recommended"
"André Onana","Man Utd","Goalkeeper","doubtful","https://resources.premierleague.com/premierleague/photos/players/250x250/p202641.png",1,3.5,4.8,3.6,12.5,72,1800,0,0,6,27,0,0,0,3,0,69,5,559.8,20.2,0,58.1,0,3.45,0,0,1.67,1.35,1,0.3,5,"Can be alternative"
"Martin Dubravka","Newcastle","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p67089.png",8,5,4.2,3.6,8.3,25,544,0,0,1,15,0,1,0,1,0,31,1,243.8,10,0,25.4,0,5.13,0,0,3.34,2.48,0.99,0.17,1,"Recommended"
"Nick Pope","Newcastle","Goalkeeper","injured/international duty","https://resources.premierleague.com/premierleague/photos/players/250x250/p98747.png",0,0,5.3,4,5.6,56,1255,0,0,6,14,0,0,0,0,0,40,1,297.4,0,4,30.1,0,2.87,0,0,1.05,1,1,0.43,5,"Can be alternative"
"Matt Turner","Nott'm Forest","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p224068.png",3,2.5,3.9,2.7,12.3,40,1350,0,0,2,23,0,0,0,1,0,51,0,347.2,0,0,34.6,0,3.4,0,0,1.53,1.53,1,0.13,2,"Can be alternative"
"Odysseas Vlachodimos","Nott'm Forest","Goalkeeper","available","https://resources.premierleague.com/premierleague/photos/players/250x250/p111452.png",0,0,4.5,2.4,0.1,12,450,0,0,1,12,0,0,0,0,0,10,0,101.8,10,0,11.2,0,2,0,0,1.5,2.4,1,0.2,4,"Not recommended"
