"chance_of_playing_next_round","chance_of_playing_this_round","code","cost_change_event","cost_change_event_fall","cost_change_start","cost_change_start_fall","dreamteam_count","position.x","ep_next","ep_this","event_points","first_name","form.x","id.x","in_dreamteam","news","news_added","now_cost","photo","points_per_game","second_name","selected_by_percent","special","squad_number","status","team","team_code","total_points","transfers_in","transfers_in_event","transfers_out","transfers_out_event","value_form","value_season","web_name","minutes","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus","bps","influence","creativity","threat","ict_index","starts","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","influence_rank","influence_rank_type","creativity_rank","creativity_rank_type","threat_rank","threat_rank_type","ict_index_rank","ict_index_rank_type","corners_and_indirect_freekicks_order","corners_and_indirect_freekicks_text","direct_freekicks_order","direct_freekicks_text","penalties_order","penalties_text","expected_goals_per_90","saves_per_90","expected_assists_per_90","expected_goal_involvements_per_90","expected_goals_conceded_per_90","goals_conceded_per_90","now_cost_rank","now_cost_rank_type","form_rank","form_rank_type","points_per_game_rank","points_per_game_rank_type","selected_rank","selected_rank_type","starts_per_90","clean_sheets_per_90","plural_name","plural_name_short","singular_name","singular_name_short","squad_select","squad_min_play","squad_max_play","ui_shirt_specific","element_count","draw","form.y","id.y","loss","name","played","points","position.y","short_name","strength","team_division","unavailable","win","strength_overall_home","strength_overall_away","strength_attack_home","strength_attack_away","strength_defence_home","strength_defence_away","pulse_id","player"
0,0,232223,0,0,-1,1,0,4,"0.0","0.0",0,"Folarin","0.0",1,FALSE,"Transferred to Monaco","2023-08-31T08:55:15.272751Z",44,"232223.jpg","0.0","Balogun","0.2",FALSE,NA,"u",1,3,0,10024,0,62298,488,"0.0","0.0","Balogun",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",627,61,616,62,600,61,632,63,NA,"",NA,"",NA,"",0,0,0,0,0,0,525,93,546,48,640,66,327,52,0,0,"Forwards","FWD","Forward","FWD",3,1,3,FALSE,99,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Folarin Balogun"
NA,NA,58822,0,0,-1,1,0,2,"0.5","0.5",0,"Cédric","0.0",2,FALSE,"",NA,39,"58822.jpg","0.0","Alves Soares","0.4",FALSE,NA,"a",1,3,0,35143,690,41795,2764,"0.0","0.0","Cédric",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",491,174,471,172,443,160,497,173,NA,"",NA,"",NA,"",0,0,0,0,0,0,732,231,380,132,505,172,254,99,0,0,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,251,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Cédric Alves Soares"
0,100,153256,0,0,-1,1,0,3,"0.0","0.5",0,"Mohamed","0.0",3,FALSE,"International Duty - Unknown return date","2023-12-30T22:30:09.113694Z",44,"153256.jpg","4.0","Elneny","0.1",FALSE,NA,"i",1,3,4,12803,41,18821,705,"0.0","0.9","M.Elneny",1,0,1,0,0,0,0,0,0,0,0,0,12,"1.8","0.5","2.0","0.4",0,"0.00","0.00","0.00","0.00",478,219,452,221,424,210,475,217,NA,"",NA,"",NA,"",0,0,0,0,0,0,497,290,531,189,52,30,462,154,0,0,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,338,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Mohamed Elneny"
50,0,438098,0,0,-1,1,0,3,"0.2","0.0",0,"Fábio","0.0",4,FALSE,"Lack of match fitness - 50% chance of playing","2023-12-07T12:00:08.489004Z",54,"438098.jpg","2.6","Ferreira Vieira","0.1",FALSE,NA,"d",1,3,21,11474,19,18527,186,"0.0","3.9","Fábio Vieira",236,1,3,1,2,0,0,0,0,1,0,0,62,"79.4","63.6","77.0","21.9",2,"1.20","0.35","1.55","1.48",338,146,277,152,212,118,320,145,5,"",NA,"",4,"",0.46,0,0.13,0.59,0.56,0.76,126,79,741,322,213,95,441,145,0.76,0.38,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,338,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Fábio Ferreira Vieira"
100,100,226597,0,0,0,0,1,2,"5.0","5.0",1,"Gabriel","4.5",5,FALSE,"","2023-09-30T23:00:07.672676Z",50,"226597.jpg","3.2","dos Santos Magalhães","18.0",FALSE,NA,"a",1,3,58,1520026,155185,2607539,89948,"0.9","11.6","Gabriel",1464,1,0,5,17,0,0,0,1,0,0,4,296,"322.2","74.9","112.0","51.0",16,"1.12","0.34","1.46","14.79",89,31,245,71,166,26,163,41,NA,"",NA,"",NA,"",0.07,0,0.02,0.09,0.91,1.05,198,23,37,7,120,31,18,6,0.98,0.31,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,251,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Gabriel dos Santos Magalhães"
100,100,219847,0,0,-4,4,0,3,"3.3","3.3",2,"Kai","2.8",6,FALSE,"","2023-12-23T20:00:08.458889Z",71,"219847.jpg","2.7","Havertz","1.6",FALSE,NA,"a",1,3,52,92568,7183,394761,6519,"0.4","7.3","Havertz",1168,4,1,4,14,0,0,0,5,0,0,0,152,"219.4","222.0","278.0","72.0",13,"4.21","1.10","5.31","10.15",178,73,91,69,65,40,89,63,NA,"",NA,"",3,"",0.32,0,0.08,0.4,0.78,1.08,30,17,128,61,191,86,151,48,1,0.31,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,338,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Kai Havertz"
75,100,205651,0,0,0,0,1,4,"2.8","3.7",1,"Gabriel","3.2",8,FALSE,"Knee injury - 75% chance of playing","2024-01-07T23:00:09.962420Z",80,"205651.jpg","3.2","Fernando de Jesus","4.5",FALSE,NA,"d",1,3,48,976181,32176,840517,145296,"0.4","6.0","G.Jesus",934,3,2,5,11,0,0,0,4,0,0,8,153,"216.6","233.9","500.0","95.0",11,"4.75","1.43","6.18","9.10",180,18,86,7,15,8,45,11,NA,"",NA,"",NA,"",0.46,0,0.14,0.6,0.88,1.06,13,4,95,18,132,21,84,14,1.06,0.48,"Forwards","FWD","Forward","FWD",3,1,3,FALSE,99,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Gabriel Fernando de Jesus"
100,100,85955,0,0,-2,2,0,3,"0.5","0.5",0,"Jorge Luiz","0.0",9,FALSE,"","2023-12-18T00:00:09.353001Z",53,"85955.jpg","1.4","Frello Filho","0.2",FALSE,NA,"a",1,3,15,9063,157,18781,407,"0.0","2.8","Jorginho",383,0,0,1,6,0,0,0,1,0,0,0,66,"50.6","64.7","9.0","12.4",4,"0.09","0.30","0.39","4.68",374,163,271,149,396,201,370,167,NA,"",NA,"",NA,"",0.02,0,0.07,0.09,1.1,1.41,132,82,730,315,375,167,345,107,0.94,0.23,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,338,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Jorge Luiz Frello Filho"
NA,NA,440854,0,0,-2,2,0,2,"1.0","1.0",1,"Jakub","0.5",10,FALSE,"",NA,43,"440854.jpg","1.6","Kiwior","0.1",FALSE,NA,"a",1,3,13,5258,562,9583,503,"0.1","3.0","Kiwior",292,0,0,1,6,0,0,0,0,0,0,0,64,"52.0","12.6","18.0","8.4",4,"0.37","0.08","0.45","1.92",373,143,395,144,360,128,402,144,NA,"",NA,"",NA,"",0.11,0,0.02,0.13,0.59,1.85,606,151,309,110,346,123,436,169,1.23,0.31,"Defenders","DEF","Defender","DEF",5,3,5,FALSE,251,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Jakub Kiwior"
0,0,479683,0,0,0,0,0,3,"0.0","0.0",0,"Marcus","0.0",11,FALSE,"Season long loan to FC Nantes","2023-08-14T03:57:12.475590Z",45,"479683.jpg","0.0","Oliveira Alencar","0.0",FALSE,NA,"u",1,3,0,819,0,11749,40,"0.0","0.0","Marquinhos",0,0,0,0,0,0,0,0,0,0,0,0,0,"0.0","0.0","0.0","0.0",0,"0.00","0.00","0.00","0.00",680,272,674,271,667,270,686,275,NA,"",NA,"",NA,"",0,0,0,0,0,0,427,247,613,232,687,277,536,189,0,0,"Midfielders","MID","Midfielder","MID",5,2,5,FALSE,338,0,NA,1,0,"Arsenal",0,0,0,"ARS",4,NA,FALSE,0,1220,1260,1270,1280,1170,1240,1,"Marcus Oliveira Alencar"
